# p00 p10 p01 p11 rho0
0.00000000 0.00012758 0.98620993 0.01366248 0.00000000
0.00000000 0.00012758 0.98620993 0.01366248 0.00000000
0.00000000 0.00012758 0.98620993 0.01366248 0.00000000
0.00000000 0.00012758 0.98620993 0.01366248 0.00000000
0.00000000 0.00012758 0.98620993 0.01366248 0.00000000
0.00000000 0.00012758 0.98620993 0.01366248 0.00000000
0.00000000 0.00012758 0.98620993 0.01366248 0.00000000
0.00000000 0.00012758 0.98620993 0.01366248 0.00000000
0.00000000 0.00012758 0.98620993 0.01366248 0.00000000
0.00000000 0.00012758 0.98620993 0.01366248 0.00000000
0.00000000 0.00012758 0.98620993 0.01366248 0.00000000
0.00000000 0.00012758 0.98620993 0.01366248 0.00000000
0.00000000 0.00012758 0.98620993 0.01366248 0.00000000
0.00000000 0.00012758 0.98620993 0.01366248 0.00000000
0.00000000 0.00012758 0.98620993 0.01366248 0.00000000
0.00000000 0.00012758 0.98620993 0.01366248 0.00000000
0.00000000 0.00012758 0.98620993 0.01366248 0.00000000
0.00000000 0.00012758 0.98620993 0.01366248 0.00000000
0.00000000 0.00012758 0.98620993 0.01366248 0.00000000
0.00000000 0.00012758 0.98620993 0.01366248 0.00000000
0.00000000 0.00012758 0.98620993 0.01366248 0.00000000
0.00000000 0.00012758 0.98620993 0.01366248 0.00000000
0.00000000 0.00012758 0.98620993 0.01366248 0.00000000
0.00000000 0.00012758 0.98620993 0.01366248 0.00000000
0.00000000 0.00012758 0.98620993 0.01366248 0.00000000
0.00000000 0.00012758 0.98620993 0.01366248 0.00000000
0.00000000 0.00012758 0.98620993 0.01366248 0.00000000
0.00000000 0.00012758 0.98620993 0.01366248 0.00000000
0.00000000 0.00012758 0.98620993 0.01366248 0.00000000
0.00000000 0.00012758 0.98620993 0.01366248 0.00000000
0.00000000 0.00012758 0.98620993 0.01366248 0.00000000
0.00000000 0.00012758 0.98620993 0.01366248 0.00000000
0.00000000 0.00012758 0.98620993 0.01366248 0.00000000
0.00000000 0.00012758 0.98620993 0.01366248 0.00000000
0.00000000 0.00012758 0.98620993 0.01366248 0.00000000
0.00000000 0.00012758 0.98620993 0.01366248 0.00000000
0.00000000 0.00012758 0.98620993 0.01366248 0.00000000
0.00000000 0.00012758 0.98620993 0.01366248 0.00000000
0.00000000 0.00012758 0.98620993 0.01366248 0.00000000
0.00000000 0.00012758 0.98620993 0.01366248 0.00000000
0.00000000 0.00012758 0.98620993 0.01366248 0.00000000
0.00000000 0.00012758 0.98620993 0.01366248 0.00000000
0.00000000 0.00012758 0.98620993 0.01366248 0.00000000
0.00000000 0.00012758 0.98620993 0.01366248 0.00000000
0.00000000 0.00012758 0.98620993 0.01366248 0.00000000
0.00000000 0.00012758 0.98620993 0.01366248 0.00000000
0.00000000 0.00012758 0.98620993 0.01366248 0.00000000
0.00000000 0.00012758 0.98620993 0.01366248 0.00000000
0.00000000 0.00012758 0.98620993 0.01366248 0.00000000
0.00000000 0.00012758 0.98620993 0.01366248 0.00000000
0.00000000 0.00012758 0.98620993 0.01366248 0.00000000
0.00000000 0.00012758 0.98620993 0.01366248 0.00000000
0.00000000 0.00012758 0.98620993 0.01366248 0.00000000
0.00000000 0.00012758 0.98620993 0.01366248 0.00000000
0.00000000 0.00012758 0.98620993 0.01366248 0.00000000
0.00000000 0.00012758 0.98620993 0.01366248 0.00000000
0.00000000 0.00012758 0.98620993 0.01366248 0.00000000
0.00000000 0.00012758 0.98620993 0.01366248 0.00000000
0.00000000 0.00012758 0.98620993 0.01366248 0.00000000
0.00000000 0.00012758 0.98620993 0.01366248 0.00000000
0.00000000 0.00012758 0.98620993 0.01366248 0.00000000
0.00000000 0.00012758 0.98620993 0.01366248 0.00000000
0.00000000 0.00012758 0.98620993 0.01366248 0.00000000
0.00000000 0.00012758 0.98620993 0.01366248 0.00000000
0.00000000 0.00012758 0.98620993 0.01366248 0.00000000
0.00000000 0.00012758 0.98620993 0.01366248 0.00000000
0.00000000 0.00012758 0.98620993 0.01366248 0.00000000
0.00000000 0.00012758 0.98620993 0.01366248 0.00000000
0.00000000 0.00012758 0.98620993 0.01366248 0.00000000
0.00000000 0.00012758 0.98620993 0.01366248 0.00000000
0.00000000 0.00012758 0.98620993 0.01366248 0.00000000
0.00000000 0.00012758 0.98620993 0.01366248 0.00000000
0.00000000 0.00012758 0.98620993 0.01366248 0.00000000
0.00000000 0.00012758 0.98620993 0.01366248 0.00000000
0.00000000 0.00012758 0.98620993 0.01366248 0.00000000
0.00000000 0.00012758 0.98620993 0.01366248 0.00000000
0.00000000 0.00012758 0.98620993 0.01366248 0.00000000
0.00000000 0.00012758 0.98620993 0.01366248 0.00000000
0.00000000 0.00012758 0.98620993 0.01366248 0.00000000
0.00000000 0.00012758 0.98620993 0.01366248 0.00000000
0.00000000 0.00012758 0.98620993 0.01366248 0.00000000
0.00000000 0.00012758 0.98620993 0.01366248 0.00000000
0.00000000 0.00012758 0.98620993 0.01366248 0.00000000
0.00000000 0.00012758 0.98620993 0.01366248 0.00000000
0.00000000 0.00012758 0.98620993 0.01366248 0.00000000
0.00000000 0.00012758 0.98620993 0.01366248 0.00000000
0.00000000 0.00012758 0.98620993 0.01366248 0.00000000
0.00000000 0.00012758 0.98620993 0.01366248 0.00000000
0.00000000 0.00012758 0.98620993 0.01366248 0.00000000
0.00000000 0.00012758 0.98620993 0.01366248 0.00000000
0.00000000 0.00012758 0.98620993 0.01366248 0.00000000
0.00000000 0.00012758 0.98620993 0.01366248 0.00000000
0.00000000 0.00012758 0.98620993 0.01366248 0.00000000
0.00000000 0.00012758 0.98620993 0.01366248 0.00000000
0.00000000 0.00012758 0.98620993 0.01366248 0.00000000
0.00000000 0.00012758 0.98620993 0.01366248 0.00000000
0.00000000 0.00012758 0.98620993 0.01366248 0.00000000
0.00000000 0.00012758 0.98620993 0.01366248 0.00000000
0.00000000 0.00012758 0.98620993 0.01366248 0.00000000
0.00000000 0.00012758 0.98620993 0.01366248 0.00000000
0.00000000 0.00012758 0.98620993 0.01366248 0.00000000
0.00000000 0.00012758 0.98620993 0.01366248 0.00000000
0.00000000 0.00012758 0.98620993 0.01366248 0.00000000
0.00000000 0.00012758 0.98620993 0.01366248 0.00000000
